index_name,GVKEYX
Amsterdam AEX - Index,150262
Athens Stock Exchange General Index,150098
ATX 50 Index,150343
ATX Index,150151
Australian All Ordinary Index,150061
Belgium 20 Index,150152
Bombay Stock Exchange Sensitive Index,150184
Brazilian Bovespa Index,150086
BSE 100 Index,150012
Budapest Stock Exchange Index,151210
CAC 40 Index,150093
Composite DAX Index,150007
Deutscher Aktien MDAX (Perf) Index,153256
Deutscher Aktienindex (DAX) Index,150095
Deutschier Aktien TECDAX (Perf),153432
Dow Jones Euro STOXX 50 Index,150940
Dow Jones European STOXX Index,150378
Dow Jones STOXX 50 Index,150377
Dow Jones STOXX 600 Price Index,150376
Euronext 100 Index,150928
FTSE 100 Index,150008
FTSE 250 Index,150013
Hang Seng Index,150051
HDAX,150356
Helsinki General Index (HEX),150022
IBEX 35 Index,151232
INMEX Index,150196
IPC Index-Mexico,150039
Jasdaq Index,115114
JSE/FTSE Top 40 Index,150944
KLSE Composite Index,150033
Korea Stock Price 200 Index,150355
Madrid Stock Exchange Index,150034
Merval Index,151229
Milan MIB 30 Index,150352
New Zealand Stock Exchange 50 Index,151312
Nikkei 225 Index,150069
Nikkei 300 Index,150192
OBX Index,150267
OMX Copenhagen 20 Index,150340
OMX Helsinki 25 Index,160134
OMX Stockholm 30 Index,151227
PSI 20 Index,150354
S&P 700 Index,150099
S&P Asia 50 Index,151012
S&P ASX 100 Index,151020
S&P ASX 20 Index,150147
S&P ASX 200 Index,153376
S&P ASX 50 Index,151013
S&P ASX ALL AUSTRALIAN 50 INDX,150155
S&P Euro Index,150913
S&P Euro Plus Index,150912
S&P Europe 350 Index,150927
S&P Global 100 Index,150919
S&P Global 1200 Index,150918
S&P Japan 500 Index,151015
S&P Latin America 40 Index,150915
S&P United Kingdom Index,150917
S&P/Topix Index (Japan) Index,150916
SBF 120 Index,150171
SBF 250 Index,150021
Strait Times-Singapore Index,150067
Swiss Market Index,150070
Swiss Performance Index - SPI,150280
Tokyo Stock Exchange Second Section Stock Price Index,150077
Topix Index,150194
