datadate,gvkey,gvkeyx,isin,from,thru,conm,cshtrd,prccd,divd,curcdd,exchg,fic,gind,iid,secstat,trfd
2018-01-01,017436,150095,DE000BASF111,1988-07-31,,BASF SE,,91.74,,EUR,171.0,DEU,151010,01W,A,3.18878902
2018-01-01,212782,150095,DE0005785802,1999-09-20,,FRESENIUS MEDICAL CARE AG&CO,,87.78,,EUR,171.0,DEU,351020,01W,A,1.31512448
2018-01-01,100080,150095,DE000BAY0017,1988-07-31,,BAYER AG,,104.0,,EUR,171.0,DEU,352020,01W,A,2.81476998
2018-01-01,100037,150095,DE000A2E4L75,1988-07-31,,LINDE AG,,194.65,,EUR,171.0,DEU,151010,03W,I,1.0
2018-01-01,315682,150095,DE000A1ML7J1,2015-09-21,,VONOVIA SE,,41.39,,EUR,171.0,DEU,601020,01W,A,1.13078001
2018-01-01,100737,150095,US9286623031,2009-12-21,,VOLKSWAGEN AG,,33.452,,EUR,154.0,DEU,251020,91W,A,1.17440735
2018-01-01,100103,150095,US2515613048,1988-07-31,,DEUTSCHE LUFTHANSA AG,,31.263,,EUR,154.0,DEU,203020,90W,A,1.1256627
2018-01-01,100103,150095,DE0008232125,1988-07-31,,DEUTSCHE LUFTHANSA AG,,30.72,,EUR,171.0,DEU,203020,01W,A,1.86420872
2018-01-01,100609,150095,DE0005439004,2012-09-24,,CONTINENTAL AG,,225.05,,EUR,171.0,DEU,251010,01W,A,1.67580838
2018-01-01,100037,150095,DE0006483001,1988-07-31,,LINDE AG,,181.4,,EUR,171.0,DEU,151010,01W,I,1.90885889
2018-01-01,273099,150095,DE000A0D9PT0,2019-10-09,,MTU AERO ENGINES AG,,149.4,,EUR,171.0,DEU,201010,01W,A,1.30176493
2018-01-01,017828,150095,DE0007100000,1988-07-31,,DAIMLER AG,,70.8,,EUR,171.0,DEU,251020,01W,A,2.72718676
2018-01-01,100590,150095,DE000ENAG999,1988-07-31,,E.ON SE,,9.061,,EUR,171.0,DEU,551030,01W,A,3.80324692
2018-01-01,220301,150095,DE0006599905,2007-06-18,,MERCK KGAA,,89.75,,EUR,171.0,DEU,352020,01W,A,1.53321698
2018-01-01,100022,150095,DE0005190003,1988-07-31,,BAYER MOTOREN WERKE AG,,86.83,,EUR,171.0,DEU,251020,01W,A,1.93275158
2018-01-01,101942,150095,DE0006048432,1988-07-31,,HENKEL AG & CO KGAA,,110.35,,EUR,171.0,DEU,303010,01W,A,1.83215475
2018-01-01,243774,150095,DE0005810055,2012-02-08,,DEUTSCHE BOERSE AG,,96.8,,EUR,171.0,DEU,402030,01W,A,1.60208404
2018-01-01,100022,150095,DE0005190037,1988-07-31,,BAYER MOTOREN WERKE AG,,74.64,,EUR,171.0,DEU,251020,02W,A,1.96027501
2018-01-01,103487,150095,DE0007164600,1995-12-31,,SAP SE,,93.45,,EUR,171.0,DEU,451030,02W,A,1.68848319
2018-01-01,015724,150095,DE0008404005,1988-07-31,,ALLIANZ SE,,191.5,,EUR,171.0,DEU,403010,01W,A,1.95633568
2018-01-01,100373,150095,US42281P2056,2010-06-21,,HEIDELBERGCEMENT AG,,17.846,,EUR,154.0,DEU,151020,90W,A,1.05720604
2018-01-01,015576,150095,DE0005140008,1988-07-31,,DEUTSCHE BANK AG,,15.875,,EUR,171.0,DEU,402030,01W,A,2.01547174
2018-01-01,101942,150095,US42550U2087,1988-07-31,,HENKEL AG & CO KGAA,,109.0,,EUR,257.0,DEU,303010,91W,A,1.0878882
2018-01-01,320448,150095,DE0006062144,2018-03-19,,COVESTRO AG,,86.03,,EUR,154.0,DEU,151010,01W,A,1.03946933
2018-01-01,101942,150095,DE0006048408,1988-07-31,,HENKEL AG & CO KGAA,,100.0,,EUR,171.0,DEU,303010,02W,A,1.41787892
2018-01-01,019349,150095,DE0007236101,1988-07-31,,SIEMENS AG,,116.15,,EUR,171.0,DEU,201050,01W,A,2.10096796
2018-01-01,242158,150095,DE0007472060,2018-09-24,,WIRECARD AG,,93.07,,EUR,171.0,DEU,451020,01W,A,1.06058969
2018-01-01,100737,150095,DE0007664005,2009-12-21,,VOLKSWAGEN AG,,168.7,,EUR,171.0,DEU,251020,01W,A,1.81040945
