gvkey,iid,gvkeyx,from,thru
008546,01W,150940,2000-12-31,
009267,01W,150940,2000-12-31,2005-07-18
009267,04W,150940,2005-07-19,2005-07-19
010846,01W,150940,2019-07-01,
010846,02W,150940,2000-12-31,2019-07-01
013467,04W,150940,2000-12-31,2004-07-27
013683,01W,150940,2000-12-31,
014140,01W,150940,2000-12-31,
014447,02W,150940,2000-12-31,
015181,03W,150940,2000-12-31,
015319,01W,150940,2000-12-31,2015-09-18
015321,01W,150940,2000-12-31,2007-10-09
015444,01W,150940,2009-09-21,2014-09-19
015444,01W,150940,2016-09-19,
015504,03W,150940,2000-12-31,2007-10-12
015505,01W,150940,2005-06-30,2007-09-21
015532,04W,150940,2000-12-31,
015537,01W,150940,2000-12-31,2003-09-19
015549,01W,150940,2000-12-31,2016-09-16
015576,01W,150940,2000-12-31,2018-09-23
015577,01W,150940,2000-12-31,2001-07-20
015598,01W,150940,2000-12-31,2009-09-18
015617,04W,150940,2000-12-31,
015677,01W,150940,2000-12-31,
015724,01W,150940,2000-12-31,
015784,01W,150940,2000-12-31,
015804,01W,150940,2000-12-31,2009-06-29
015804,01W,150940,2010-12-20,2016-09-16
016348,03W,150940,2007-01-02,
016383,01W,150940,2010-02-08,2013-02-28
016383,02W,150940,2013-03-01,2019-09-23
016447,01W,150940,2000-12-31,2001-12-16
016447,01W,150940,2009-01-14,2009-09-18
016447,06W,150940,2001-12-17,2009-01-13
017436,01W,150940,2000-12-31,
017452,02W,150940,2000-12-31,
017828,01W,150940,2000-12-31,
019151,01W,150940,2003-08-04,2012-06-15
019349,01W,150940,2000-12-31,
019540,03W,150940,2000-12-31,2003-08-01
023667,02W,150940,2000-12-31,2007-09-23
023667,02W,150940,2016-09-19,
023671,02W,150940,2000-12-31,2013-03-15
023671,02W,150940,2014-09-22,
024563,02W,150940,2004-09-20,2011-09-16
024589,01W,150940,2000-12-31,2007-01-01
024625,02W,150940,2000-12-31,
025124,01W,150940,2018-10-29,
030807,02W,150940,2002-09-23,2007-09-23
061214,01W,150940,2012-06-18,
061440,01W,150940,2000-12-31,2001-09-21
061616,01W,150940,2000-12-31,
063120,01W,150940,2000-12-31,
065248,01W,150940,2009-01-15,2013-09-20
065248,03W,150940,2007-09-24,2007-11-12
100022,01W,150940,2009-09-20,
100037,03W,150940,2018-09-24,2018-09-25
100080,01W,150940,2000-12-31,
100346,01W,150940,2000-12-31,2016-09-16
100557,02W,150940,2000-12-31,2008-07-21
100581,03W,150940,2000-12-31,
100590,01W,150940,2000-12-31,2018-09-23
100737,01W,150940,2000-12-31,2004-09-19
100737,01W,150940,2007-10-10,2010-02-07
100737,02W,150940,2011-09-19,
100953,01W,150940,2000-12-31,2015-09-18
100957,01W,150940,2003-09-22,
101202,01W,150940,2000-12-31,
101204,01W,150940,2000-12-31,
101248,03W,150940,2012-06-18,
101264,01W,150940,2000-12-31,
101305,01W,150940,2015-09-21,
101336,02W,150940,2007-09-24,
101352,01W,150940,2000-12-31,2008-09-19
101811,01W,150940,2001-09-24,2018-09-23
102296,02W,150940,2007-09-24,
103487,02W,150940,2004-07-28,
201794,01W,150940,2000-12-31,
202305,01W,150940,2015-09-21,
210479,01W,150940,2005-07-20,2009-09-18
214259,02W,150940,2001-07-23,2005-06-29
218399,01W,150940,2008-09-22,2011-09-16
220833,02W,150940,2013-03-18,
220940,01W,150940,2000-12-31,
220942,03W,150940,2008-07-22,
221244,01W,150940,2016-09-19,
221616,01W,150940,2000-12-31,
222379,01W,150940,2000-12-31,2002-09-20
222379,01W,150940,2018-09-24,
241456,01W,150940,2012-02-01,
241637,01W,150940,2009-09-21,
243774,01W,150940,2019-09-23,
243774,01W,150940,2007-10-15,2011-07-19
243774,01W,150940,2012-02-08,2012-06-15
243774,02W,150940,2011-07-20,2012-02-07
245663,01W,150940,2011-09-19,
250339,01W,150940,2007-11-13,2009-01-14
294508,01W,150940,2018-09-24,
296577,01W,150940,2011-01-26,2011-01-31
321632,01W,150940,2016-09-12,2016-09-13
