date,djct
2000-01-03,4511.09
2000-01-04,4398.27
2000-01-05,4459.33
2000-01-06,4522.44
2000-01-07,4613.65
2000-01-10,4627.6
2000-01-11,4597.7
2000-01-12,4614.65
2000-01-13,4614.28
2000-01-14,4656.76
2000-01-17,4656.76
2000-01-18,4596.4
2000-01-19,4579.36
2000-01-20,4579.36
2000-01-21,4526.51
2000-01-24,4441.79
2000-01-25,4417.41
2000-01-26,4432.4
2000-01-27,4418.02
2000-01-28,4322.16
2000-01-31,4393.1
2000-02-01,4415.75
2000-02-02,4412.24
2000-02-03,4429.3
2000-02-04,4397.21
2000-02-07,4365.48
2000-02-08,4393.84
2000-02-09,4313.87
2000-02-10,4274.41
2000-02-11,4201.32
2000-02-14,4239.42
2000-02-15,4287.22
2000-02-16,4245.47
2000-02-17,4232.51
2000-02-18,4130.69
2000-02-21,4130.69
2000-02-22,4154.24
2000-02-23,4117.72
2000-02-24,4051.49
2000-02-25,3968.74
2000-02-28,4039.85
2000-02-29,4072.22
2000-03-01,4075.53
2000-03-02,4071.34
2000-03-03,4153.61
2000-03-06,4062.28
2000-03-07,3928.72
2000-03-08,3964.14
2000-03-09,3999.89
2000-03-10,3990.23
2000-03-13,4000.86
2000-03-14,3956.01
2000-03-15,4105.7
2000-03-16,4312.96
2000-03-17,4273.84
2000-03-20,4285.41
2000-03-21,4368.97
2000-03-22,4347.21
2000-03-23,4438.81
2000-03-24,4423.72
2000-03-27,4403.33
2000-03-28,4367.33
2000-03-29,4408.63
2000-03-30,4392.88
2000-03-31,4405.48
2000-04-03,4473.69
2000-04-04,4464.9
2000-04-05,4460.34
2000-04-06,4483.06
2000-04-07,4477.96
2000-04-10,4517.56
2000-04-11,4568.23
2000-04-12,4547.67
2000-04-13,4501.49
2000-04-14,4261.31
2000-04-17,4327.32
2000-04-18,4398.58
2000-04-19,4389.47
2000-04-20,4453.0
2000-04-24,4475.14
2000-04-25,4584.81
2000-04-26,4541.26
2000-04-27,4501.51
2000-04-28,4446.01
2000-05-01,4474.38
2000-05-02,4443.19
2000-05-03,4360.77
2000-05-04,4353.18
2000-05-05,4413.75
2000-05-08,4449.38
2000-05-09,4417.68
2000-05-10,4375.57
2000-05-11,4455.12
2000-05-12,4451.86
2000-05-15,4502.12
2000-05-16,4535.98
2000-05-17,4471.64
2000-05-18,4470.05
2000-05-19,4418.32
2000-05-22,4398.25
2000-05-23,4364.08
2000-05-24,4415.55
2000-05-25,4327.29
2000-05-26,4318.08
2000-05-29,4318.08
2000-05-30,4386.6
2000-05-31,4386.39
2000-06-01,4437.74
2000-06-02,4477.75
2000-06-05,4452.36
2000-06-06,4440.47
2000-06-07,4466.82
2000-06-08,4422.01
2000-06-09,4428.9
2000-06-12,4422.59
2000-06-13,4432.34
2000-06-14,4431.89
2000-06-15,4434.39
2000-06-16,4354.62
2000-06-19,4377.89
2000-06-20,4342.66
2000-06-21,4358.65
2000-06-22,4311.25
2000-06-23,4326.25
2000-06-26,4354.17
2000-06-27,4336.64
2000-06-28,4373.15
2000-06-29,4323.98
2000-06-30,4297.18
2000-07-03,4364.07
2000-07-04,4364.07
2000-07-05,4355.43
2000-07-06,4375.6
2000-07-07,4418.23
2000-07-10,4441.96
2000-07-11,4476.23
2000-07-12,4506.34
2000-07-13,4514.39
2000-07-14,4524.77
2000-07-17,4519.09
2000-07-18,4507.28
2000-07-19,4479.57
2000-07-20,4505.17
2000-07-21,4482.29
2000-07-24,4470.53
2000-07-25,4475.05
2000-07-26,4412.38
2000-07-27,4443.4
2000-07-28,4410.48
2000-07-31,4432.88
2000-08-01,4482.1
2000-08-02,4518.34
2000-08-03,4540.96
2000-08-04,4564.34
2000-08-07,4611.4
2000-08-08,4648.01
2000-08-09,4609.72
2000-08-10,4609.26
2000-08-11,4668.61
2000-08-14,4716.99
2000-08-15,4680.8
2000-08-16,4661.65
2000-08-17,4672.36
2000-08-18,4666.14
2000-08-21,4665.86
2000-08-22,4682.24
2000-08-23,4670.09
2000-08-24,4667.85
2000-08-25,4676.74
2000-08-28,4705.55
2000-08-29,4680.38
2000-08-30,4647.59
2000-08-31,4685.12
2000-09-01,4691.2
2000-09-04,4691.2
2000-09-05,4717.35
2000-09-06,4753.12
2000-09-07,4739.3
2000-09-08,4754.1
2000-09-11,4761.03
2000-09-12,4767.71
2000-09-13,4767.05
2000-09-14,4727.66
2000-09-15,4693.09
2000-09-18,4640.73
2000-09-19,4586.17
2000-09-20,4532.9
2000-09-21,4542.92
2000-09-22,4590.87
2000-09-25,4574.84
2000-09-26,4548.28
2000-09-27,4554.6
2000-09-28,4636.58
2000-09-29,4582.41
2000-10-02,4586.03
2000-10-03,4579.24
2000-10-04,4584.32
2000-10-05,4553.29
2000-10-06,4523.55
2000-10-09,4506.91
2000-10-10,4512.8
2000-10-11,4473.2
2000-10-12,4344.71
2000-10-13,4413.69
2000-10-16,4442.7
2000-10-17,4394.15
2000-10-18,4339.27
2000-10-19,4411.37
2000-10-20,4431.91
2000-10-23,4440.02
2000-10-24,4473.11
2000-10-25,4425.7
2000-10-26,4440.49
2000-10-27,4527.76
2000-10-30,4667.12
2000-10-31,4723.18
2000-11-01,4727.1
2000-11-02,4717.44
2000-11-03,4674.64
2000-11-06,4731.26
2000-11-07,4718.2
2000-11-08,4712.47
2000-11-09,4692.75
2000-11-10,4627.27
2000-11-13,4619.12
2000-11-14,4655.29
2000-11-15,4681.5
2000-11-16,4674.67
2000-11-17,4689.73
2000-11-20,4637.94
2000-11-21,4646.76
2000-11-22,4602.53
2000-11-23,4639.23
2000-11-24,4638.2
2000-11-27,4646.58
2000-11-28,4637.41
2000-11-29,4661.05
2000-11-30,4583.26
2000-12-01,4567.25
2000-12-04,4623.36
2000-12-05,4727.37
2000-12-06,4654.38
2000-12-07,4640.51
2000-12-08,4693.28
2000-12-11,4717.27
2000-12-12,4723.24
2000-12-13,4716.34
2000-12-14,4639.21
2000-12-15,4568.07
2000-12-18,4655.23
2000-12-19,4654.89
2000-12-20,4589.15
2000-12-21,4635.42
2000-12-22,4712.15
2000-12-26,4759.31
2000-12-27,4805.74
2000-12-28,4816.62
2000-12-29,4807.45
2001-01-02,4710.69
2001-01-03,4765.61
2001-01-04,4739.08
2001-01-05,4666.38
2001-01-08,4687.46
2001-01-09,4635.59
2001-01-10,4634.3
2001-01-11,4592.31
2001-01-12,4576.05
2001-01-15,4576.05
2001-01-16,4611.51
2001-01-17,4604.58
2001-01-18,4637.49
2001-01-19,4592.09
2001-01-22,4614.07
2001-01-23,4656.99
2001-01-24,4651.1
2001-01-25,4709.1
2001-01-26,4679.42
2001-01-29,4712.02
2001-01-30,4765.05
2001-01-31,4779.71
2001-02-01,4803.6
2001-02-02,4768.64
2001-02-05,4799.44
2001-02-06,4792.01
2001-02-07,4796.08
2001-02-08,4792.71
