datadate,rf_rate_pct
1980-01-01,8
1980-02-01,8.4
1980-03-01,9.4
1980-04-01,9.4
1980-05-01,8.3
1980-06-01,8.1
1980-07-01,7.9
1980-08-01,7.8
1980-09-01,8.1
1980-10-01,8.3
1980-11-01,8.6
1980-12-01,8.8
1981-01-01,9
1981-02-01,9.8
1981-03-01,10.2
1981-04-01,10
1981-05-01,10.5
1981-06-01,10.5
1981-07-01,10.5
1981-08-01,10.7
1981-09-01,10.6
1981-10-01,10.2
1981-11-01,9.9
1981-12-01,9.7
1982-01-01,9.8
1982-02-01,9.7
1982-03-01,9.4
1982-04-01,8.9
1982-05-01,8.7
1982-06-01,9.1
1982-07-01,9.3
1982-08-01,9
1982-09-01,8.6
1982-10-01,8.3
1982-11-01,8.2
1982-12-01,7.9
1983-01-01,7.8
1983-02-01,7.8
1983-03-01,7.6
1983-04-01,7.7
1983-05-01,7.8
1983-06-01,8.2
1983-07-01,8.2
1983-08-01,8.4
1983-09-01,8.5
1983-10-01,8.3
1983-11-01,8.3
1983-12-01,8.4
1984-01-01,8.4
1984-02-01,8.2
1984-03-01,8.1
1984-04-01,8.1
1984-05-01,8.2
1984-06-01,8.2
1984-07-01,8.2
1984-08-01,8.1
1984-09-01,7.8
1984-10-01,7.6
1984-11-01,7.4
1984-12-01,7.2
1985-01-01,7.3
1985-02-01,7.6
1985-03-01,7.7
1985-04-01,7.4
1985-05-01,7.2
1985-06-01,7.1
1985-07-01,6.9
1985-08-01,6.7
1985-09-01,6.5
1985-10-01,6.7
1985-11-01,6.8
1985-12-01,6.6
1986-01-01,6.5
1986-02-01,6.4
1986-03-01,6.1
1986-04-01,5.7
1986-05-01,6.1
1986-06-01,6.2
1986-07-01,6.1
1986-08-01,5.9
1986-09-01,6
1986-10-01,6.3
1986-11-01,6.4
1986-12-01,6.2
1987-01-01,6.1
1987-02-01,6.1
1987-03-01,6
1987-04-01,5.8
1987-05-01,5.7
1987-06-01,6
1987-07-01,6.3
1987-08-01,6.5
1987-09-01,6.7
1987-10-01,6.9
1987-11-01,6.4
1987-12-01,6.5
1988-01-01,6.5
1988-02-01,6.3
1988-03-01,6.2
1988-04-01,6.3
1988-05-01,6.6
1988-06-01,6.6
1988-07-01,6.7
1988-08-01,6.8
1988-09-01,6.6
1988-10-01,6.4
1988-11-01,6.4
1988-12-01,6.5
1989-01-01,6.7
1989-02-01,6.9
1989-03-01,7
1989-04-01,6.9
1989-05-01,7.1
1989-06-01,6.9
1989-07-01,6.8
1989-08-01,6.8
1989-09-01,7
1989-10-01,7.2
1989-11-01,7.5
1989-12-01,7.5
1990-01-01,7.63
1990-02-01,8.43
1990-03-01,8.67
1990-04-01,8.7
1990-05-01,8.74
1990-06-01,8.82
1990-07-01,8.58
1990-08-01,8.9
1990-09-01,9.09
1990-10-01,9.09
1990-11-01,8.95
1990-12-01,8.85
1991-01-01,8.94
1991-02-01,8.42
1991-03-01,8.41
1991-04-01,8.39
1991-05-01,8.39
1991-06-01,8.39
1991-07-01,8.61
1991-08-01,8.56
1991-09-01,8.45
1991-10-01,8.36
1991-11-01,8.34
1991-12-01,8.24
1992-01-01,7.98
1992-02-01,7.92
1992-03-01,8
1992-04-01,8.04
1992-05-01,8.08
1992-06-01,8.06
1992-07-01,8.12
1992-08-01,8.08
1992-09-01,7.71
1992-10-01,7.47
1992-11-01,7.38
1992-12-01,7.33
1993-01-01,7.15
1993-02-01,6.94
1993-03-01,6.66
1993-04-01,6.68
1993-05-01,6.83
1993-06-01,6.81
1993-07-01,6.62
1993-08-01,6.41
1993-09-01,6.2
1993-10-01,6
1993-11-01,5.98
1993-12-01,5.85
1994-01-01,5.8
1994-02-01,6.07
1994-03-01,6.34
1994-04-01,6.48
1994-05-01,6.66
1994-06-01,7.05
1994-07-01,6.9
1994-08-01,7.09
1994-09-01,7.52
1994-10-01,7.54
1994-11-01,7.49
1994-12-01,7.46
1995-01-01,7.6
1995-02-01,7.42
1995-03-01,7.28
1995-04-01,7.09
1995-05-01,6.86
1995-06-01,6.78
1995-07-01,6.86
1995-08-01,6.74
1995-09-01,6.59
1995-10-01,6.57
1995-11-01,6.34
1995-12-01,6.07
1996-01-01,5.89
1996-02-01,6.2
1996-03-01,6.44
1996-04-01,6.38
1996-05-01,6.45
1996-06-01,6.56
1996-07-01,6.48
1996-08-01,6.3
1996-09-01,6.23
1996-10-01,6.01
1996-11-01,5.86
1996-12-01,5.79
1997-01-01,5.8
1997-02-01,5.55
1997-03-01,5.71
1997-04-01,5.87
1997-05-01,5.76
1997-06-01,5.72
1997-07-01,5.56
1997-08-01,5.66
1997-09-01,5.59
1997-10-01,5.58
1997-11-01,5.56
1997-12-01,5.33
1998-01-01,5.11
1998-02-01,4.99
1998-03-01,4.9
1998-04-01,4.9
1998-05-01,4.96
1998-06-01,4.8
1998-07-01,4.68
1998-08-01,4.42
1998-09-01,4.06
1998-10-01,4.06
1998-11-01,4.12
1998-12-01,3.86
1999-01-01,3.7
1999-02-01,3.85
1999-03-01,4.04
1999-04-01,3.85
1999-05-01,4.01
1999-06-01,4.36
1999-07-01,4.68
1999-08-01,4.88
1999-09-01,5.04
1999-10-01,5.29
1999-11-01,5.04
1999-12-01,5.15
2000-01-01,5.54
2000-02-01,5.51
2000-03-01,5.33
2000-04-01,5.22
2000-05-01,5.38
2000-06-01,5.19
2000-07-01,5.27
2000-08-01,5.21
2000-09-01,5.26
2000-10-01,5.21
2000-11-01,5.15
2000-12-01,4.89
2001-01-01,4.8
2001-02-01,4.78
2001-03-01,4.67
2001-04-01,4.83
2001-05-01,5.05
2001-06-01,5
2001-07-01,5.02
2001-08-01,4.82
2001-09-01,4.81
2001-10-01,4.6
2001-11-01,4.45
2001-12-01,4.74
2002-01-01,4.86
2002-02-01,4.92
2002-03-01,5.16
2002-04-01,5.15
2002-05-01,5.17
2002-06-01,5.02
2002-07-01,4.87
2002-08-01,4.59
2002-09-01,4.38
2002-10-01,4.46
2002-11-01,4.48
2002-12-01,4.33
2003-01-01,4.18
2003-02-01,3.95
2003-03-01,4
2003-04-01,4.15
2003-05-01,3.82
2003-06-01,3.62
2003-07-01,3.97
2003-08-01,4.13
2003-09-01,4.17
2003-10-01,4.22
2003-11-01,4.35
2003-12-01,4.29
2004-01-01,4.17
2004-02-01,4.11
2004-03-01,3.91
2004-04-01,4.1
2004-05-01,4.25
2004-06-01,4.31
2004-07-01,4.24
2004-08-01,4.08
2004-09-01,4.02
2004-10-01,3.89
2004-11-01,3.78
2004-12-01,3.58
2005-01-01,3.56
2005-02-01,3.54
2005-03-01,3.7
2005-04-01,3.48
2005-05-01,3.3
2005-06-01,3.13
2005-07-01,3.2
2005-08-01,3.23
2005-09-01,3.07
2005-10-01,3.24
2005-11-01,3.45
