Model Type;Index ID;Index Name;Number days;Test Set Size;Total Accuracy;Top-k Accuracy Scores;Top-k Mean Daily Return;Model Configs;Total Epochs;Period Range;Start Date;End Date
tree_based;150192;Nikkei 300 Index;987;70687;0.5295598907861417;{1: 0.5741176470588235, 2: 0.5873192436040044, 3: 0.5911401597676107, 4: 0.5967654986522911, 5: 0.5872267466780968, 6: 0.5827107790821772, 7: 0.5801155366372758, 8: 0.5810990177860367, 9: 0.5809187279151944, 10: 0.5784459030277366, 29: 0.5576964867801522, 59: 0.5476283531710784, 74: 0.5458020671102931, 118: 0.5349353115516354, 148: 0.5295598907861417};{1: 0.005219570798219594, 2: 0.006802124956252393, 3: 0.006637871390999884, 4: 0.007387271931942226, 5: 0.006522350584272404, 6: 0.006358913601857897, 7: 0.006045482254330451, 8: 0.005940263056298955, 9: 0.005965711744064408, 10: 0.005720964766495936, 29: 0.004123902496048839, 59: 0.0033637870759179412, 74: 0.0031669661659542068, 118: 0.0022691061061742273, 148: 0.0019034745508471704};{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1, 'verbose': 1, 'warm_start': True};;(-6000, -5001);1996-09-12;2000-09-14
tree_based;150192;Nikkei 300 Index;948;69138;0.5261072058780989;{1: 0.6079545454545454, 2: 0.6058174523570712, 3: 0.6077762619372442, 4: 0.5989664082687338, 5: 0.5894342762063228, 6: 0.583710407239819, 7: 0.5867743865948534, 8: 0.5864602466544214, 9: 0.5845794392523365, 10: 0.5851758264897873, 29: 0.5623629185553444, 58: 0.5485205800498023, 73: 0.5447057453868095, 117: 0.5321777680875032, 147: 0.5261072058780989};{1: 0.005865978687087857, 2: 0.005317390759863105, 3: 0.005387657999025666, 4: 0.004546989443933017, 5: 0.004409083202232801, 6: 0.004178216699255385, 7: 0.004235816066342114, 8: 0.004090388731476088, 9: 0.003921505234281261, 10: 0.0038434316954178227, 29: 0.002268565046511921, 58: 0.001668809226810312, 73: 0.0014369016032748931, 117: 0.0010151126978254024, 147: 0.0008340558419248058};{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1, 'verbose': 1, 'warm_start': True};;(-5000, -4001);2000-09-18;2004-07-26
tree_based;150192;Nikkei 300 Index;945;70906;0.5066567004202748;{1: 0.539543057996485, 2: 0.531062124248497, 3: 0.529291553133515, 4: 0.5363589479112945, 5: 0.5358474927476171, 6: 0.5424315898856945, 7: 0.5415055043141922, 8: 0.5374185136897002, 9: 0.5344627523787422, 10: 0.5339744929960276, 29: 0.521067517586482, 59: 0.5164411439180263, 74: 0.5133973063014323, 119: 0.508193236372655, 149: 0.5067144009395916};{1: 0.0028078512852240224, 2: 0.002063858223735795, 3: 0.0021014815857694274, 4: 0.0022213171623802785, 5: 0.0020096245497984717, 6: 0.002170958274161894, 7: 0.0020386274425324875, 8: 0.0017251643153478931, 9: 0.0017422413060244175, 10: 0.0018369481086324049, 29: 0.0009813830797933338, 59: 0.0006561949116098582, 74: 0.0005422071950921545, 119: 0.0003270565258871718, 149: 0.00021758865399765386};{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1, 'verbose': 1, 'warm_start': True};;(-4000, -3001);2004-07-27;2008-05-30
tree_based;150192;Nikkei 300 Index;944;70061;0.5063872910749204;{1: 0.5372549019607843, 2: 0.5540679711637487, 3: 0.5475364330326162, 4: 0.5457875457875457, 5: 0.5447291054178917, 6: 0.5433181339880744, 7: 0.5395965070761819, 8: 0.5360063307834344, 9: 0.5346162872565126, 10: 0.5373071232297612, 29: 0.5195080887197131, 59: 0.5142826267065308, 74: 0.514061647180489, 119: 0.5076035095870338, 149: 0.5063872910749204};{1: 0.0007757982219145502, 2: 0.00177693161786822, 3: 0.0012756997563046608, 4: 0.0016047579214785227, 5: 0.00150653132562173, 6: 0.0014166596975042599, 7: 0.0011948288573112753, 8: 0.0009818694839789906, 9: 0.0009272003788267932, 10: 0.0009963143137273296, 29: 0.000637340703577228, 59: 0.00048201529836265064, 74: 0.0004170692789505723, 119: 0.0002692255687985994, 149: 0.00021673600916741493};{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1, 'verbose': 1, 'warm_start': True};;(-3000, -2001);2008-06-02;2012-04-06
tree_based;150192;Nikkei 300 Index;945;70500;0.5153191489361703;{1: 0.5085106382978724, 2: 0.5297872340425532, 3: 0.5390070921985816, 4: 0.5452127659574468, 5: 0.5438297872340425, 6: 0.548936170212766, 7: 0.5452887537993921, 8: 0.5422872340425532, 9: 0.5442080378250591, 10: 0.5385106382978724, 30: 0.5353191489361702, 60: 0.5257446808510639, 75: 0.5230070921985815, 120: 0.518209219858156, 150: 0.5153191489361703};{1: -0.00019599050101341335, 2: -0.0005179369417554264, 3: -0.00010410614319614461, 4: 0.00027545321865492137, 5: 0.0005003803538720773, 6: 0.0006410185940906079, 7: 0.0007380544178451193, 8: 0.0007113548981509138, 9: 0.0008240911238870579, 10: 0.0007653720790585416, 30: 0.0009452738271221709, 60: 0.0007956320903288498, 75: 0.0007060949172535604, 120: 0.000542015200796101, 150: 0.00044964141177782785};{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1, 'verbose': 1, 'warm_start': True};;(-2000, -1001);2012-04-09;2016-02-16
tree_based;150192;Nikkei 300 Index;943;69850;0.49959914101646385;{1: 0.4838095238095238, 2: 0.4763819095477387, 3: 0.4962457337883959, 4: 0.5007751937984496, 5: 0.4964656964656965, 6: 0.49043478260869566, 7: 0.4923766816143498, 8: 0.4935779816513762, 9: 0.4952158693115519, 10: 0.4946372239747634, 29: 0.49514066496163683, 59: 0.5018175274428649, 74: 0.5023108942155877, 118: 0.5011258218499505, 148: 0.4996049701932055};{1: -0.000409649912667363, 2: -0.0006694609542760835, 3: -0.0001597335145353975, 4: -5.665585797617555e-05, 5: -0.00014758593733438423, 6: -0.0002708547584595356, 7: -0.00014742014467408016, 8: -0.00010480273291962372, 9: -6.424461804898946e-05, 10: -6.709598030778255e-05, 29: -0.0001568059359090154, 59: -5.768373779004519e-05, 74: -8.3569699210756e-05, 118: -6.044214379594272e-05, 148: -5.8437143594167416e-05};{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1, 'verbose': 1, 'warm_start': True};;(-1000, -1);2016-02-17;2019-12-23
tree_based;150378;Dow Jones European STOXX Index;991;75414;0.5089108123160156;{1: 0.50199203187251, 2: 0.515807962529274, 3: 0.5143253234750462, 4: 0.510654490106545, 5: 0.5117703966462431, 6: 0.5152447552447552, 7: 0.5154282893112812, 8: 0.5171195051910757, 9: 0.5188886667999201, 10: 0.5179777331629859, 30: 0.518801448798156, 61: 0.514328161109277, 76: 0.5122307896835948, 122: 0.5107895700822538, 153: 0.5090526931928536};{1: 0.00015179108865496965, 2: 0.0008874656224593558, 3: 0.0007333420576962541, 4: 0.0008288349189553849, 5: 0.0006737376538952966, 6: 0.0008000079336617735, 7: 0.0008620220044546854, 8: 0.0008550743464983451, 9: 0.0009440258457097846, 10: 0.0008343459401528446, 30: 0.0006963796049830455, 61: 0.0005066691735597495, 76: 0.0004320210947534881, 122: 0.0003467296987271675, 153: 0.0002679251806178693};{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1, 'verbose': 1, 'warm_start': True};;(-4000, -3001);2004-07-26;2008-05-28
tree_based;150378;Dow Jones European STOXX Index;991;75449;0.5160041882596191;{1: 0.531130876747141, 2: 0.5134281200631912, 3: 0.5255014326647565, 4: 0.5179856115107914, 5: 0.5172031076581576, 6: 0.5224630851398052, 7: 0.525382096069869, 8: 0.5221900627110468, 9: 0.5200777202072538, 10: 0.5185474424053105, 30: 0.5250701965503409, 60: 0.5243988328805715, 76: 0.5235875294678568, 121: 0.5195512126912257, 152: 0.5160041882596191};{1: 0.001410657508097198, 2: 0.0002431255355166612, 3: 0.0007443385091732371, 4: 0.00014721908084726492, 5: 6.975929906790515e-05, 6: 0.00038660954812014687, 7: 0.0004593541119437281, 8: 0.0004925939553327463, 9: 0.0005172900892610923, 10: 0.0004436301651220588, 30: 0.000773354312927355, 60: 0.000704856653796469, 76: 0.0006324256734627023, 121: 0.000500957556362012, 152: 0.00041835986565266157};{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1, 'verbose': 1, 'warm_start': True};;(-3000, -2001);2008-05-29;2012-04-03
tree_based;150378;Dow Jones European STOXX Index;990;71671;0.5115318608642269;{1: 0.5279449699054171, 2: 0.5307364576993305, 3: 0.5256470588235295, 4: 0.5277884246837868, 5: 0.5281189398836458, 6: 0.5291817927953085, 7: 0.5349065880039331, 8: 0.5324846356453029, 9: 0.5344964314036479, 10: 0.5344422346772736, 28: 0.5297399065616066, 57: 0.5225332400279916, 72: 0.5190264255910988, 115: 0.5154799845900606, 144: 0.5113827284946236};{1: 0.0018835616988218398, 2: 0.000608877065836921, 3: 0.0006566289807687043, 4: 0.00025913939050880425, 5: 0.0001350023591667849, 6: -8.000911247743223e-05, 7: 0.00015268791016309657, 8: 0.0002750185016834947, 9: 0.0004228608071482579, 10: 0.0005763473296723218, 28: 0.000564369881342575, 57: 0.0004538039063273202, 72: 0.0004181077294550214, 115: 0.0003558501295824508, 144: 0.0002309534877285882};{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1, 'verbose': 1, 'warm_start': True};;(-2000, -1001);2012-04-04;2016-02-15
tree_based;150378;Dow Jones European STOXX Index;989;70827;0.5051322235870501;{1: 0.5096870342771982, 2: 0.5125223613595706, 3: 0.5062735257214555, 4: 0.511996161228407, 5: 0.506993006993007, 6: 0.5048955613577023, 7: 0.5033764772087789, 8: 0.501730959446093, 9: 0.4995588883987649, 10: 0.4990047770700637, 28: 0.5002162006341885, 57: 0.5055673758865248, 71: 0.5047269206674639, 114: 0.5058908987828429, 143: 0.5051322235870501};{1: -0.001832461367636184, 2: -0.0008017122499626762, 3: -0.0006431685901147306, 4: -0.00017352961499571073, 5: -0.00022538451851978532, 6: -0.00024601271248624664, 7: -0.0002927094109022247, 8: -0.000347431774121348, 9: -0.00037414643074101047, 10: -0.0004030215547181375, 28: -0.0002498668881705593, 57: -0.00012438321830299758, 71: -0.00012618725056556568, 114: -4.204204529547386e-05, 143: -4.7264211351581656e-05};{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1, 'verbose': 1, 'warm_start': True};;(-1000, -1);2016-02-16;2019-12-23
